Development Status,Country,Year_x,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth,Country_Year,Year_y,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
Unknown,Cuba,2004,12.171,7.161,1.61,79.265,75.385,77.27768293,0.301014772,11245926,35356,0.314389406,724261,6.440207769,66380,62.38721805,0.33363193,35.26315789,106400,2704983,-0.370221893,109890,105.6947932,75.947,0.514543525,Cuba_2004,2004,Cuba,CUB,51357048832,11250369,11.48,3.45,0.94,0.095,1.352,22.834,0,0,25.221,0.1,0,0.03,0.21,0,0.09
Unknown,Cuba,2005,11.813,7.181,1.592,79.5,75.576,77.49014634,0.243675665,11273363,75797,0.672354824,768196,6.814257644,65280,61.34761771,0.328739525,34.8275538,106410,2700985,-0.147910632,109890,105.9427028,76.041,0.367375045,Cuba_2005,2005,Cuba,CUB,53114044416,11261586,10.79,3.23,1.066,0.018,1.425,21.933,0,0,24.442,0.11,0,0.03,0.2,0,0.08
Unknown,Cuba,2007,11.056,7.231,1.545,80,75.949,77.92509756,0.07986482,11301100,152715,1.351328632,961573,8.508667298,66300,62.29446585,0.321561618,34.14450813,106430,2686611,-0.310541136,109890,106.1834069,76.227,0.201933648,Cuba_2007,2007,Cuba,CUB,63463485440,11251117,11.26,3.44,1.164,0.073,2.338,20.665,0,0,24.24,0.1,0,0.04,0.18,0,0.08
Unknown,Cuba,2008,10.7,7.267,1.52,80.24,76.135,78.13743902,0.005079023,11301674,198252,1.75418261,1055118,9.335944392,66200,62.19466366,0.316147856,33.56820744,106440,2676236,-0.386921833,109890,106.1788238,76.32,0.127019116,Cuba_2008,2008,Cuba,CUB,67603095552,11236975,11.48,3.49,1.079,0.092,2.228,24.71,0,0,28.108,0.09,0,0.04,0.22,0,0.09
Unknown,Cuba,2009,10.385,7.315,1.498,80.46,76.323,78.34104878,-0.047074903,11296355,331736,2.936664083,1088089,9.632213223,65300,61.34911687,0.309834455,32.88237505,106440,2664471,-0.440579086,109890,106.1288519,76.413,0.074704526,Cuba_2009,2009,Cuba,CUB,70355910656,11226711,12.09,3.42,1.023,0.088,2.217,25.069,0,0,28.396,0.09,0,0.04,0.23,0,0.09
Unknown,Cuba,2010,10.12,7.376,1.48,80.655,76.514,78.534,-0.066672038,11288826,621156,5.502396795,1119786,9.919419433,65700,61.72491545,0.314470256,33.35212326,106440,2652310,-0.457458045,109890,106.0581172,76.505,0.053647126,Cuba_2010,2010,Cuba,CUB,74083581952,11225833,11.93,3.43,0.927,0.077,2.059,31.136,0,0.001,34.2,0.07,0,0.03,0.28,0,0.1
Unknown,Cuba,2011,9.908,7.449,1.467,80.827,76.709,78.71778049,-0.062541555,11281768,1003015,8.890583462,1163625,10.31420784,65700,61.72491545,0.314666992,33.35212326,106440,2640272,-0.454901625,109890,105.9918076,76.597,0.057645522,Cuba_2011,2011,Cuba,CUB,78036992000,11236671,12.27,3.66,0.94,0.011,1.957,26.523,0,0,29.431,0.07,0,0.03,0.23,0,0.09
Unknown,Cuba,2012,9.744,7.534,1.459,80.98,76.907,78.89382927,-0.050669789,11276053,1315141,11.66313248,1193415,10.58362354,65700,61.72491545,0.314826473,33.35212326,106440,2628561,-0.444539399,109890,105.9381154,76.689,0.069362073,Cuba_2012,2012,Cuba,CUB,80388153344,11257112,12.23,3.57,0.954,0.015,1.986,26.788,0,0,29.742,0.07,0,0.03,0.23,0,0.09
Unknown,Cuba,2013,9.614,7.626,1.453,81.124,77.108,79.06702439,-0.045203334,11270957,1681645,14.92016162,1216522,10.79342242,64060,60.1841413,0.284093001,30.08267569,106440,2617004,-0.440639615,109880,105.8902386,76.781,0.074687407,Cuba_2013,2013,Cuba,CUB,83013746688,11282722,12.27,3.69,0.921,0.037,2.045,25.021,0,0,28.024,0.06,0,0.03,0.22,0,0.08
Emerging and Developing Economies,China,1992,19.68,6.7,2.342,71.286,68.114,69.66131707,1.364434008,1150780000,47544,0.004018906,8450600,0.714331355,5113790,54.47010891,0.108513356,13.30120097,9388250,836478966,0.174643831,9562950,122.576625,27.312,4.601685132,China_1992,1992,China,CHN,3.75504E+12,1206711296,781.19,309.6,122.445,2114.715,30.239,385.793,0,77.596,2730.788,22.91,25.08,0.76,4.2,0,12.1
Emerging and Developing Economies,China,1993,18.27,6.64,2.171,71.47,68.272,69.832,1.225536228,1164970000,176943,0.014759086,11469100,0.956655147,5143140,54.78273374,0.105496279,13.09083162,9388250,836448460,-0.00364702,9562950,124.0880888,28.2,4.42511729,China_1993,1993,China,CHN,4.12617E+12,1218817024,790.54,301.41,142.774,2228.745,35.728,428.549,0,85.855,2921.651,25.68,26.13,0.88,4.66,0,12.81
Emerging and Developing Economies,China,1994,18.09,6.64,2.009,71.643,68.417,69.99065854,1.149619431,1178440000,638000,0.052592372,17332000,1.428731968,5182230,55.19910526,0.102932691,12.92040583,9388250,835478607,-0.116016198,9562950,125.522861,29.103,4.301547743,China_1994,1994,China,CHN,4.43875E+12,1230019968,812.96,314.95,164.377,2380.586,41.568,423.712,0,89.759,3100.002,27.74,27.75,1.01,4.59,0,13.5
Emerging and Developing Economies,China,1995,17.7,6.49,1.865,71.814,68.561,70.14782927,1.130260632,1191835000,1568000,0.127903776,27295300,2.226512718,5228330,55.6901446,0.101272408,12.85649615,9388250,833998460,-0.177318685,9562950,126.9496445,30.024,4.245840597,China_1995,1995,China,CHN,4.81E+12,1240920448,850.31,358.59,184.637,2569.754,42.436,468.23,0,92.852,3357.909,29.47,29.13,1.01,5.02,0,14.32
Emerging and Developing Economies,China,1997,16.98,6.56,1.656,72.229,68.976,70.56282927,1.048141514,1217550000,6853000,0.549163873,54947000,4.403167565,5228720,55.69441737,0.098015687,12.71155479,9388230,828956742,-0.344790969,9562930,129.6889829,31.916,4.086051744,China_1997,1997,China,CHN,5.29134E+12,1261996032,813.78,356.53,202.874,2609.556,44.159,557.961,0,95.619,3510.169,30.79,29,1,5.72,0,14.44
Emerging and Developing Economies,China,1998,16.57,6.51,1.591,72.506,69.3,70.86390244,1.023450024,1230075000,13233000,1.052726386,70310000,5.593379597,5233330,55.74352141,0.097148548,12.72870392,9388230,825589438,-0.407037131,9562930,131.0231002,32.883,4.008285508,China_1998,1998,China,CHN,5.3387E+12,1271982336,815.85,365.59,211.369,2444.771,50.501,559.262,0,94.552,3360.455,32.3,27.9,1.12,5.68,0,13.88
Emerging and Developing Economies,China,2000,14.64,6.46,1.52,73.214,70.197,71.66870732,0.865851393,1252735000,43296000,3.401326149,108715763,8.54069123,5231330,55.72221814,0.095231633,12.70740065,9388230,815968942,-0.654731362,9562930,133.4367607,34.865,3.77008873,China_2000,2000,China,CHN,5.95268E+12,1290550784,810.19,376.06,244.388,2396.426,59.796,648.685,0,89.857,3439.152,34.05,26.59,1.26,6.31,0,13.63
Emerging and Developing Economies,China,2001,14.03,6.45,1.51,73.622,70.73,72.14073171,0.787956593,1262645000,85260000,6.658707962,144829000,11.31097836,5220030,55.60191389,0.093589251,12.58705058,9388220,809645853,-0.777935943,9562920,134.492481,35.877,3.649252711,China_2001,2001,China,CHN,6.32974E+12,1299129728,802.87,378.28,270.828,2428.857,67.158,659.301,0,88.79,3514.934,36.21,26.8,1.4,6.36,0,13.81
Emerging and Developing Economies,China,2003,12.86,6.41,1.527,74.43,71.774,73.06960976,0.669999568,1280400000,206005000,15.90376731,214222000,16.53812694,5231970,56.09195703,0.092886598,12.75070123,9327487,788406300,-1.470150496,9599998,137.2717003,38.425,4.198001148,China_2003,2003,China,CHN,7.24862E+12,1315303552,821.23,401.56,345.186,3319.28,60.745,727.099,0,92.704,4545.014,40.72,32.38,1.19,6.82,0,16.61
Emerging and Developing Economies,China,2007,12.09,6.81,1.602,75.545,73.029,74.25631707,0.558374367,1311020000,461058000,34.76674887,367786000,27.73343809,5237082,56.14675316,0.090115483,12.6661318,9327488.6,735901746,-1.811246341,9599999.6,140.5544468,43.868,3.674728093,China_2007,2007,China,CHN,1.03582E+13,1345993856,975.03,449.39,514.981,5289.904,129.515,927.351,0,116.861,6978.612,45.87,41.29,2.27,8.25,0,22.16
Emerging and Developing Economies,China,2008,12.1,6.93,1.617,75.723,73.187,74.42407317,0.522271866,1317885000,547306000,41.01687431,365637000,27.40201436,5154000,55.25602753,0.082962474,11.72180398,9327489.2,722214159,-1.877489851,9600000.2,141.2904343,45.199,3.511255552,China_2008,2008,China,CHN,1.07991E+13,1353569536,994.45,465.24,525.924,5729.474,149.674,970.117,0,121.643,7496.832,46.18,43.29,2.55,8.66,0,23.38
Emerging and Developing Economies,China,2011,11.9,7.11,1.65,76.207,73.626,74.88502439,0.482959689,1337705000,859003000,63.17027802,294383000,21.64865077,5188014,55.6206886,0.083240849,11.93801372,9327489.7,679206337,-2.133474239,9600000.7,143.4153286,49.226,3.255365494,China_2011,2011,China,CHN,1.36732E+13,1376497664,1121.46,497.54,708.564,7309.786,245.99,1123.859,0,140.357,9528.556,52.75,49.45,3.86,9.91,0,27.64
Emerging and Developing Economies,China,2013,12.1,7.2,1.663,76.522,73.94,75.1995122,0.487231118,1350695000,1112155000,80.76271455,278153000,20.19897527,5145530,54.80841877,0.078418888,11.28223471,9388211,649832871,-2.211368176,9562911,143.8713936,51.889,3.056129629,China_2013,2013,China,CHN,1.53044E+13,1391883392,1147.21,522.8,748.323,7493.455,320.127,1234.622,0,156.217,9952.744,52.01,49.81,4.89,10.66,0,28.21
Advanced Economy,Germany,1993,10,11,1.29,79.2,72.6,75.8195122,0.760346947,80624598,971890,1.190674527,35420843,43.39451533,169510,48.55211526,0.142227066,32.84449918,349130,21478393,0.419335734,356970,230.9300203,73.36,0.884470377,Germany_1993,1993,Germany,DEU,2.2101E+12,80428552,90.18,61.24,14.531,430.617,136.302,361.484,3.317,9.881,956.132,2.61,5.05,3.35,3.93,1.42,4.19
Advanced Economy,Germany,1994,9.8,11.1,1.28,79.2,72.7,75.87073171,0.657391218,81156363,1774378,2.157949827,37000000,44.99838456,171620,49.15788268,0.14387042,33.44408799,349120,21603012,0.578529635,356990,232.4597932,73.381,0.686013681,Germany_1994,1994,Germany,DEU,2.29016E+12,80832928,88.71,64.69,15.341,418.041,142.162,350.531,3.22,10.52,939.815,2.59,4.87,3.46,3.8,1.36,4.09
Advanced Economy,Germany,1996,9.4,10.8,1.25,79.7,73.3,76.42195122,0.293904444,81678051,3725000,4.479975831,42000000,50.51247917,173430,49.67917502,0.144898169,33.9014609,349100,21819475,0.507507724,357020,233.9674907,73.286,0.216155725,Germany_1996,1996,Germany,DEU,2.40261E+12,81323664,86.48,64,14.811,400.629,169.971,360.487,3.213,10.04,959.151,2.32,4.43,3.86,3.75,1.35,3.97
Advanced Economy,Germany,1997,9.7,10.8,1.3,79.9,73.6,76.67317073,0.289474899,81914831,5512000,6.609990079,44100000,52.88471743,173370,49.66341058,0.144479331,33.90243204,349090,21926962,0.491410152,357030,234.6524707,73.232,0.215764515,Germany_1997,1997,Germany,DEU,2.47474E+12,81399248,83.49,61.48,15.275,386.881,162.892,352.854,3.239,10.183,931.324,2.32,4.3,3.69,3.62,1.33,3.83
Advanced Economy,Germany,1999,9.6,10.4,1.36,80.6,74.5,77.47560976,0.015143651,82047195,13913000,16.66213257,46530000,55.72407307,173730,49.77651711,0.144782524,34.03529884,349020,22067414,0.260837104,357030,235.0787777,73.104,-0.075098777,Germany_1999,1999,Germany,DEU,2.63265E+12,81389936,77.78,45.32,15.771,360.069,165.642,341.247,3.112,10.033,895.874,2.3,4.14,3.58,3.39,1.39,3.65
Advanced Economy,Germany,2001,9.3,10.2,1.38,81,75,77.92682927,0.1354316,82211508,48202000,57.71833398,50220000,60.1347399,170680,48.91245164,0.143580872,33.82719587,348950,22142025,0.124293493,357030,235.5968133,73.067,0.139537496,Germany_2001,2001,Germany,DEU,2.81946E+12,81453888,73.49,45.32,13.504,376.536,173.813,340.234,2.969,9.592,916.648,1.81,4.15,3.63,3.28,1.09,3.6
Advanced Economy,Germany,2005,8.6,9.9,1.36,81.6,75.9,78.6804878,-0.021709728,82516260,71322000,85.06020667,54526000,65.02892276,170130,48.77999828,0.144189763,34.11417266,348770,22040918,-0.231143165,357050,236.5921954,73.289,0.054729836,Germany_2005,2005,Germany,DEU,2.98387E+12,81602744,64.79,44.48,13.05,363.237,173.43,305.215,2.953,8.812,866.697,1.36,3.14,3.22,2.75,0.89,2.93
Advanced Economy,Germany,2006,8.3,10.1,1.34,81.8,76.2,78.93170732,-0.056778262,82469422,79271000,94.55486999,54791000,65.35499592,170310,48.83300837,0.144344409,34.13235463,348760,21973977,-0.304174537,357090,236.4646806,73.355,0.033236124,Germany_2006,2006,Germany,DEU,3.12939E+12,81472232,62.93,43.05,13.34,369.594,178.396,304.938,3.069,8.983,878.32,1.27,3.02,3.23,2.72,0.92,2.87
Advanced Economy,Germany,2008,8.3,10.1,1.37,82.3,76.9,79.53414634,-0.133718573,82266372,96232925,115.1403608,53100000,63.53286218,169500,48.61330198,0.144372478,34.06372788,348670,21640169,-0.894927547,357100,235.9433619,73.695,0.139399919,Germany_2008,2008,Germany,DEU,3.34093E+12,81065752,61,44.39,13.579,356.219,179.834,293.274,2.944,9.077,854.927,1.19,2.69,3.06,2.62,0.81,2.67
Advanced Economy,Germany,2010,8.1,10.4,1.36,82.5,77.3,79.83658537,-0.25338341,81902307,105000000,126.2280577,53700000,64.55663525,168860,48.43808267,0.145844488,34.26465104,348610,21218431,-1.014749148,357120,234.9396374,74.093,0.014205771,Germany_2010,2010,Germany,DEU,3.35679E+12,80827000,58.06,37.56,12.431,343.447,184.004,282.159,2.581,8.327,832.949,1,2.46,2.97,2.5,0.7,2.5
Advanced Economy,Germany,2011,8.3,10.5,1.39,82.6,77.5,79.98780488,-0.153198447,81776930,88400000,106.4836959,52900000,63.72157819,167000,47.91003242,0.14485748,33.98456551,348570,21024031,-0.920407397,357127,234.6069082,74.291,0.113677274,Germany_2011,2011,Germany,DEU,3.51913E+12,80855632,56.15,36.02,13.393,344.696,168.411,271.43,2.673,8.614,809.217,1,2.33,2.64,2.39,0.75,2.35
Advanced Economy,Germany,2012,8.1,10.4,1.36,83.2,78.4,80.74146341,0.025362128,81797673,90900000,109.6595675,51400000,62.00772023,167190,47.96454084,0.145175279,34.06776257,348570,20868222,-0.743859341,357127,234.6664171,74.488,0.290185263,Germany_2012,2012,Germany,DEU,3.53644E+12,80972632,55.56,36.1,13.289,349.767,168.062,271.887,2.657,8.323,813.985,0.96,2.34,2.58,2.36,0.73,2.33
Emerging and Developing Economies,Indonesia,1992,25.247,7.689,3.023,65.883,61.96,63.87365854,1.749722115,181786329,24528,0.013492764,1295002,0.712375901,415240,22.92155423,0.099462925,9.980845344,1811570,124318217,0.256258373,1910930,100.3473942,31.613,5.058864653,Indonesia_1992,1992,Indonesia,IDN,8.4178E+11,187739776,347.52,62.92,9.777,12.509,52.374,117.107,11.809,0.001,203.577,1.83,0.15,1.32,1.27,4.98,0.9
Emerging and Developing Economies,Indonesia,1993,24.645,7.545,2.931,66.303,62.367,64.287,1.707427287,184916848,35546,0.019222694,1652378,0.893578934,413510,22.82605696,0.097881833,9.991333484,1811570,124443491,0.100718082,1910930,102.0754638,32.703,5.097266782,Indonesia_1993,1993,Indonesia,IDN,9.12703E+11,190851184,350.33,61.92,10.775,21.309,57.659,117.418,12.6,0.001,219.762,1.94,0.25,1.42,1.28,5.4,0.96
Emerging and Developing Economies,Indonesia,1995,23.486,7.288,2.764,67.111,63.151,65.08270732,1.617737709,191085673,78024,0.040831947,2462831,1.288862195,419710,23.16830153,0.08962472,9.453678301,1811570,124333715,-0.096471921,1910930,105.4807007,34.933,4.89118474,Indonesia_1995,1995,Indonesia,IDN,1.0722E+12,196934256,362.55,65.94,13.312,25.175,64.574,113.862,9.618,0.002,226.543,2.12,0.29,1.53,1.22,4.09,0.97
Emerging and Developing Economies,Indonesia,1996,22.955,7.175,2.691,67.5,63.529,65.46607317,1.571629917,194112556,210643,0.108515907,3290854,1.695332887,429780,23.72417295,0.089339919,9.572911894,1811570,124084510,-0.200633495,1910930,107.1515625,36.076,4.791218877,Indonesia_1996,1996,Indonesia,IDN,1.16128E+12,199901232,321.73,67.29,14.266,27.561,78.992,124.631,9.618,0,255.067,2.23,0.3,1.79,1.3,4.05,1.06
Emerging and Developing Economies,Indonesia,1997,22.49,7.074,2.628,67.879,63.899,65.84046341,1.526231727,197097887,562517,0.285399813,4186030,2.123833017,429680,23.71865288,0.091025836,9.903564312,1811570,123708489,-0.303496297,1910930,108.7994872,37.235,4.688366482,Indonesia_1997,1997,Indonesia,IDN,1.22145E+12,202826432,569.07,77.09,16.01,29.389,82.042,143.869,9.424,0,280.734,2.43,0.33,1.86,1.47,3.88,1.16
Emerging and Developing Economies,Indonesia,1998,22.111,6.985,2.575,68.248,64.26,66.20536585,1.486906109,200050444,916173,0.457970991,4982466,2.49060482,435270,24.027225,0.092476676,10.21213643,1811570,123219070,-0.396407467,1910930,110.4293204,38.406,4.583358859,Indonesia_1998,1998,Indonesia,IDN,1.06607E+12,205724592,383.1,73.68,13.077,32.075,48.028,113.174,9.618,0,215.971,2,0.37,1.07,1.15,4.16,0.89
Emerging and Developing Economies,Indonesia,2002,21.477,6.735,2.475,69.634,65.635,67.58573171,1.440560753,211970371,6520947,3.076348345,7218938,3.405635404,477000,26.33075178,0.095296337,11.15054897,1811570,121285207,0.086561608,1910930,117.009208,42.782,3.280582263,Indonesia_2002,2002,Indonesia,IDN,1.24425E+12,217357792,429.43,69.4,18.137,66.665,59.764,156.843,9.409,0,310.818,2.3,0.71,1.21,1.51,3.28,1.19
Emerging and Developing Economies,Indonesia,2004,21.465,6.642,2.479,70.281,66.289,68.23631707,1.434672565,218145617,18495251,8.478396795,8058139,3.693926612,494060,27.27247636,0.102711209,12.36827724,1811570,121391491,0.030307375,1904570,120.4179894,44.353,3.225005391,Indonesia_2004,2004,Indonesia,IDN,1.38184E+12,223285664,414.98,71.85,19.047,82.216,61.886,173.895,7.35,0,344.394,2.1,0.75,1.17,1.58,2.36,1.2
Emerging and Developing Economies,Indonesia,2009,20.767,6.407,2.479,71.731,67.737,69.68529268,1.406113633,234243489,140578243,60.01372486,30378071,12.96858714,520000,28.70438349,0.09690771,12.53056741,1811570,121040638,-0.12831584,1904570,129.3041334,48.327,3.073253829,Indonesia_2009,2009,Indonesia,IDN,1.88633E+12,238620544,370.09,81.67,19.437,128.274,64.541,181.26,8.445,0,401.957,1.66,0.98,1.12,1.65,2.3,1.27
Emerging and Developing Economies,Indonesia,2011,20.051,6.323,2.434,72.232,68.202,70.16785366,1.3341207,240676485,211290235,87.79014493,40931063,17.00667309,546000,30.13960267,0.098056941,13.02737405,1811570,120521157,-0.250823653,1904570,132.8551947,49.924,2.949533757,Indonesia_2011,2011,Indonesia,IDN,2.15014E+12,245115984,316.24,83.9,21.062,181.281,81.553,211.329,9.537,0,504.762,1.57,1.23,1.28,1.86,2.69,1.46
Emerging and Developing Economies,Indonesia,2012,19.633,6.289,2.403,72.468,68.414,70.39156098,1.290129396,243801639,249805619,102.4626496,38617480,15.83971304,545000,30.08440193,0.096389836,12.97217331,1811570,120164952,-0.29599154,1904570,134.5803027,50.712,2.85620156,Indonesia_2012,2012,Indonesia,IDN,2.27974E+12,248451712,314.93,86.26,23.272,187.171,80.062,218.777,12.245,0.001,521.528,1.69,1.25,1.23,1.9,3.36,1.49
Emerging and Developing Economies,Colombia,1993,26.477,6.188,3.012,72.894,64.589,68.64021951,1.898636955,34608171,0,0,2821700,8.153276866,449830,40.54348806,0.088707375,2.767012168,1109500,10620902,0.234435488,1141750,31.19258315,69.311,2.644439325,Colombia_1993,1993,Colombia,COL,2.86074E+11,35091272,58.44,18.54,3.318,14.206,8.644,36.038,1.132,1.42E-14,63.338,0.6,0.17,0.21,0.39,0.48,0.28
Emerging and Developing Economies,Colombia,1994,26.061,6.143,2.966,73.144,64.791,68.86563415,1.867229913,35260456,0,0,3139468,8.903651161,449030,40.47138351,0.082897396,2.634520054,1109500,10641606,0.194746608,1141750,31.78049211,69.82,2.59891784,Colombia_1994,1994,Colombia,COL,3.00755E+11,35758976,59.79,18.79,3.92,13.612,8.977,39.56,0.722,0,66.791,0.66,0.16,0.22,0.43,0.3,0.29
Emerging and Developing Economies,Colombia,1995,25.622,6.082,2.92,73.389,65.073,69.12958537,1.840501015,35915434,86805,0.24169275,3513000,9.781310174,448650,40.43713384,0.078851894,2.552501127,1109500,10703158,0.576742574,1141750,32.3708283,70.199,2.381860909,Colombia_1995,1995,Colombia,COL,3.16299E+11,36421436,61.18,18.87,3.896,14.136,8.295,31.793,0.656,0,58.775,0.62,0.16,0.2,0.34,0.28,0.25
Emerging and Developing Economies,Colombia,1996,25.161,6.009,2.872,73.63,65.424,69.42692683,1.816761502,36573895,274590,0.750781397,3872845,10.5890964,445130,40.11987382,0.065593233,2.162235241,1109500,10783447,0.747343507,1141750,32.96430374,70.516,2.267317206,Colombia_1996,1996,Colombia,COL,3.22722E+11,37076388,62.15,18.56,3.73,12.513,10.234,32.577,0.718,0,59.771,0.58,0.14,0.23,0.34,0.3,0.25
Emerging and Developing Economies,Colombia,1997,24.687,5.928,2.823,73.869,65.822,69.74736585,1.79446308,37236124,522857,1.404166019,4645453,12.47566207,449200,40.48670572,0.065339776,2.192879676,1109500,10861033,0.716915651,1141750,33.5611753,70.832,2.241585121,Colombia_1997,1997,Colombia,COL,3.33738E+11,37723804,62.42,18.65,3.85,12.289,12.454,34.797,1.107,0,64.497,0.58,0.14,0.28,0.36,0.46,0.27
Emerging and Developing Economies,Colombia,2000,23.311,5.711,2.682,74.582,67.002,70.69956098,1.712227985,39234115,1966535,5.012308803,6665422,16.98884249,456680,41.16088328,0.064637625,2.285714286,1109500,11076968,0.620211277,1141750,35.36197837,71.767,2.145115083,Colombia_2000,2000,Colombia,COL,3.30668E+11,39629964,62.19,18.83,3.241,10.227,12.488,29.329,0.975,0,56.259,0.45,0.11,0.26,0.29,0.36,0.22
Emerging and Developing Economies,Colombia,2001,22.897,5.659,2.64,74.821,67.336,70.98721951,1.677914737,39897984,2256801,5.656428656,7192778,18.02792342,448590,40.431726,0.070630135,2.53988283,1109500,11141512,0.580995474,1141750,35.96032808,72.075,2.106164272,Colombia_2001,2001,Colombia,COL,3.3615E+11,40255956,62.68,19.19,3.115,10.321,13.26,28.543,0.7,0,55.939,0.42,0.11,0.28,0.28,0.26,0.22
Emerging and Developing Economies,Colombia,2002,22.518,5.62,2.603,75.063,67.634,71.25790244,1.642322909,40558648,3265261,8.05071461,7371545,18.17502645,417450,37.62505633,0.060011862,2.193780982,1109500,11202299,0.54410727,1141750,36.55578909,72.38,2.06459882,Colombia_2002,2002,Colombia,COL,3.44483E+11,40875364,62.51,19.42,3.105,9.267,13.246,28.724,1.088,7.11E-15,55.43,0.39,0.1,0.27,0.28,0.38,0.21
Emerging and Developing Economies,Colombia,2005,21.55,5.541,2.518,75.794,68.423,72.01860976,1.553525396,42527623,10400578,24.45605295,7588676,17.8441104,423910,38.20730059,0.05262462,2.017124831,1109500,11361680,0.436865516,1141750,38.33043984,73.284,1.963730151,Colombia_2005,2005,Colombia,COL,3.94524E+11,42647732,65.03,20.79,4.125,10.234,14.007,30.939,0.755,0,60.06,0.43,0.09,0.26,0.28,0.23,0.2
Emerging and Developing Economies,Colombia,2006,21.266,5.526,2.496,76.036,68.665,72.26060976,1.531684061,43184026,21849993,50.59739682,7678804,17.78158433,425570,38.35691753,0.046915496,1.826047769,1109500,11408788,0.413764594,1141750,38.92206039,73.581,1.936137911,Colombia_2006,2006,Colombia,COL,4.20867E+11,43200904,65.4,21.33,4.117,9.351,14.033,33.973,0.531,7.11E-15,62.005,0.39,0.08,0.25,0.3,0.16,0.2
Emerging and Developing Economies,Colombia,2007,20.986,5.516,2.475,76.272,68.899,72.49558537,1.51072338,43841370,29762715,67.88728318,7860205,17.92873945,421740,38.01171699,0.043442985,1.716629112,1109500,11453119,0.387815903,1141750,39.51452907,73.876,1.910842637,Colombia_2007,2007,Colombia,COL,4.49787E+11,43737512,67.35,23.1,4.541,8.053,14.033,33.02,0.531,0.001,60.179,0.4,0.06,0.25,0.29,0.15,0.19
Emerging and Developing Economies,Colombia,2008,20.702,5.511,2.454,76.501,69.125,72.72304878,1.487511659,44498390,33941118,76.27493489,7924098,17.80760607,424360,38.2478594,0.044900501,1.800811176,1109500,11494379,0.359603861,1141750,40.10670572,74.169,1.883336596,Colombia_2008,2008,Colombia,COL,4.65646E+11,44254972,68.24,22.06,4.439,10.768,17.518,33.441,0.484,1.42E-14,66.65,0.39,0.08,0.3,0.3,0.13,0.21
Emerging and Developing Economies,Colombia,2011,19.779,5.529,2.376,77.14,69.775,73.36768293,1.392446101,46444798,44477653,95.76455258,7186165,15.47248628,425030,38.30824696,0.037980572,1.589905363,1109500,11594479,0.249342921,1141750,41.86101667,75.036,1.775664523,Colombia_2011,2011,Colombia,COL,5.24201E+11,45662748,70.58,22.09,4.588,13.785,21.051,35.341,1.315,1.42E-14,76.08,0.34,0.09,0.33,0.31,0.37,0.22
Emerging and Developing Economies,Colombia,2012,19.448,5.545,2.346,77.339,69.988,73.57385366,1.355815601,47078792,46200421,98.13425332,7126730,15.13787779,437856,39.46426318,0.04456359,1.890941866,1109500,11618575,0.207607398,1141750,42.43243984,75.321,1.734912952,Colombia_2012,2012,Colombia,COL,5.45385E+11,46075724,68.93,21.63,5.051,11.541,22.899,38.914,1.323,0,79.727,0.37,0.08,0.35,0.34,0.36,0.23
Emerging and Developing Economies,Libya,1992,27.641,5.113,4.688,70.657,67.268,68.92117073,2.313601954,4359515,0,0,232980,5.34417246,154600,8.786387351,0.415183799,1.02867795,1759540,1056005,2.090921895,1759540,2.477644725,75.777,2.384888915,Libya_1992,1992,Libya,LBY,26617796608,4650896,56.2,1.16,0.941,0.015,9.215,22.929,3.924,0,37.024,0.18,0,0.23,0.25,1.65,0.16
Emerging and Developing Economies,Libya,1993,26.701,5.005,4.426,70.995,67.633,69.273,2.261170468,4459214,0,0,235803,5.2879947,154650,8.789229003,0.407022403,1.031519602,1759540,1077703,2.03390042,1759540,2.534306694,75.832,2.333711145,Libya_1993,1993,Libya,LBY,27601942528,4755134,59.22,1.2,0.94,0.011,8.897,25.533,3.327,0,38.708,0.17,0,0.22,0.28,1.42,0.17
